시도,평균,여가활용 만족도,노인여가복지시설 수,도서관 수,문화기반시설 수,체육관련 여가시설 수
경상남도 창원시,0.123,0.123,0.2705,0.2201,0.2349,0.2779
경상남도 의령군,0.8145,0.0178,0.972,0.9946,0.812,0.8783
경상남도 함안군,0.5221,0.4828,0.8078,0.5492,0.3862,0.3711
경상남도 창녕군,0.4935,0.0214,0.824,0.6537,0.6104,0.382
경상남도 고성군,0.4154,0.0423,0.8085,0.3058,0.7708,0.2766
경상남도 남해군,0.5354,0.1447,0.6785,0.7552,0.5552,0.5126
경상남도 하동군,0.4708,0.0066,0.9092,0.4461,0.6865,0.3596
경상남도 산청군,0.7607,0.1817,0.9478,0.756,0.974,0.6169
경상남도 함양군,0.6758,0.1656,0.9794,0.9257,0.5006,0.5919
경상남도 거창군,0.4838,0.2433,0.9304,0.4775,0.4135,0.3913
경상남도 합천군,0.79,0.1084,0.9748,0.9949,0.6226,0.8836
제주특별자치도 제주시,0.6948,0.8585,0.2026,0.9455,0.8464,0.3805
제주특별자치도 서귀포시,0.6948,0.8585,0.2026,0.9455,0.8464,0.3805
